"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18659","Calculation Testing | Scenario=S2 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:05:03 IST 2025","passed","Fri Sep 26 08:05:21 IST 2025","TestCalculations","eNach_test","",""
"","18677","Calculation Testing | Scenario=S2 | Mode=RuPay Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:04:38 IST 2025","passed","Fri Sep 26 08:04:57 IST 2025","TestCalculations","eNach_test","",""
"","8057","Calculation Testing | Scenario=S2 | Mode=UPI INTENT | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:05:27 IST 2025","failed","Fri Sep 26 08:05:35 IST 2025","TestCalculations","eNach_test","",""
"","28887","Calculation Testing | Scenario=S1 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:00:50 IST 2025","passed","Fri Sep 26 08:01:19 IST 2025","TestCalculations","eNach_test","",""
"","18578","Calculation Testing | Scenario=S1 | Mode=UPI | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 07:58:36 IST 2025","passed","Fri Sep 26 07:58:54 IST 2025","TestCalculations","eNach_test","",""
"","9812","Calculation Testing | Scenario=S13 | Mode=Credit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:14:49 IST 2025","failed","Fri Sep 26 08:14:59 IST 2025","TestCalculations","eNach_test","",""
"","8073","Calculation Testing | Scenario=S8 | Mode=UPI INTENT | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:14:16 IST 2025","failed","Fri Sep 26 08:14:24 IST 2025","TestCalculations","eNach_test","",""
"","16467","Calculation Testing | Scenario=S2 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:04:15 IST 2025","passed","Fri Sep 26 08:04:32 IST 2025","TestCalculations","eNach_test","",""
"","16718","Calculation Testing | Scenario=S1 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 07:59:25 IST 2025","passed","Fri Sep 26 07:59:41 IST 2025","TestCalculations","eNach_test","",""
"","16800","Calculation Testing | Scenario=S8 | Mode=Net Banking | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:11:52 IST 2025","passed","Fri Sep 26 08:12:08 IST 2025","TestCalculations","eNach_test","",""
"","10419","Calculation Testing | Scenario=S13 | Mode=Wallet | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:15:36 IST 2025","failed","Fri Sep 26 08:15:46 IST 2025","TestCalculations","eNach_test","",""
"","19135","Calculation Testing | Scenario=S8 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:13:50 IST 2025","passed","Fri Sep 26 08:14:09 IST 2025","TestCalculations","eNach_test","",""
"","11525","Calculation Testing | Scenario=S13 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:15:55 IST 2025","failed","Fri Sep 26 08:16:07 IST 2025","TestCalculations","eNach_test","",""
"","18664","Calculation Testing | Scenario=S8 | Mode=RuPay Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:13:25 IST 2025","passed","Fri Sep 26 08:13:44 IST 2025","TestCalculations","eNach_test","",""
"","12333","Calculation Testing | Scenario=S13 | Mode=RuPay Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:16:14 IST 2025","failed","Fri Sep 26 08:16:26 IST 2025","TestCalculations","eNach_test","",""
"","17071","Calculation Testing | Scenario=S1 | Mode=Wallet | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 07:59:01 IST 2025","passed","Fri Sep 26 07:59:18 IST 2025","TestCalculations","eNach_test","",""
"","18511","Calculation Testing | Scenario=S2 | Mode=UPI | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:03:27 IST 2025","passed","Fri Sep 26 08:03:46 IST 2025","TestCalculations","eNach_test","",""
"","18453","Calculation Testing | Scenario=S8 | Mode=Debit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:11:03 IST 2025","passed","Fri Sep 26 08:11:21 IST 2025","TestCalculations","eNach_test","",""
"","45546","Calculation Testing | Scenario=S1 | Mode=Net Banking | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 07:57:44 IST 2025","passed","Fri Sep 26 07:58:30 IST 2025","TestCalculations","eNach_test","",""
"","19662","Calculation Testing | Scenario=S2 | Mode=Credit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:02:39 IST 2025","passed","Fri Sep 26 08:02:59 IST 2025","TestCalculations","eNach_test","",""
"","16993","Calculation Testing | Scenario=S2 | Mode=Wallet | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:03:52 IST 2025","passed","Fri Sep 26 08:04:09 IST 2025","TestCalculations","eNach_test","",""
"","18938","Calculation Testing | Scenario=S1 | Mode=Credit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 07:57:14 IST 2025","passed","Fri Sep 26 07:57:33 IST 2025","TestCalculations","eNach_test","",""
"","12127","Calculation Testing | Scenario=S13 | Mode=UPI INTENT | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:16:57 IST 2025","failed","Fri Sep 26 08:17:09 IST 2025","TestCalculations","eNach_test","",""
"","16792","Calculation Testing | Scenario=S2 | Mode=Net Banking | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:03:05 IST 2025","passed","Fri Sep 26 08:03:22 IST 2025","TestCalculations","eNach_test","",""
"","10136","Calculation Testing | Scenario=S13 | Mode=Debit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:14:32 IST 2025","failed","Fri Sep 26 08:14:42 IST 2025","TestCalculations","eNach_test","",""
"","18698","Calculation Testing | Scenario=S2 | Mode=Debit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:02:14 IST 2025","passed","Fri Sep 26 08:02:33 IST 2025","TestCalculations","eNach_test","",""
"","11710","Calculation Testing | Scenario=S13 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:16:33 IST 2025","failed","Fri Sep 26 08:16:45 IST 2025","TestCalculations","eNach_test","",""
"","16747","Calculation Testing | Scenario=S8 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:13:02 IST 2025","passed","Fri Sep 26 08:13:19 IST 2025","TestCalculations","eNach_test","",""
"","18623","Calculation Testing | Scenario=S8 | Mode=Credit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:11:27 IST 2025","passed","Fri Sep 26 08:11:46 IST 2025","TestCalculations","eNach_test","",""
"","7614","Calculation Testing | Scenario=S13 | Mode=Net Banking | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:15:05 IST 2025","failed","Fri Sep 26 08:15:13 IST 2025","TestCalculations","eNach_test","",""
"","9561","Calculation Testing | Scenario=S13 | Mode=UPI | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:15:19 IST 2025","failed","Fri Sep 26 08:15:29 IST 2025","TestCalculations","eNach_test","",""
"","36703","Calculation Testing | Scenario=S1 | Mode=UPI INTENT | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:01:28 IST 2025","failed","Fri Sep 26 08:02:04 IST 2025","TestCalculations","eNach_test","",""
"","18638","Calculation Testing | Scenario=S8 | Mode=UPI | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:12:15 IST 2025","passed","Fri Sep 26 08:12:33 IST 2025","TestCalculations","eNach_test","",""
"","40061","Calculation Testing | Scenario=S1 | Mode=RuPay Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 07:59:55 IST 2025","passed","Fri Sep 26 08:00:35 IST 2025","TestCalculations","eNach_test","",""
"","17084","Calculation Testing | Scenario=S8 | Mode=Wallet | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 08:12:39 IST 2025","passed","Fri Sep 26 08:12:56 IST 2025","TestCalculations","eNach_test","",""
"","18630","Calculation Testing | Scenario=S1 | Mode=Debit Card | Slab=1-1000 | Amount=700","testCases","Fri Sep 26 07:56:49 IST 2025","passed","Fri Sep 26 07:57:07 IST 2025","TestCalculations","eNach_test","",""
